root_Xposition,root_Yposition,root_Zposition,root_Zrotation,root_Xrotation,root_Yrotation,torso_1_Xposition,torso_1_Yposition,torso_1_Zposition,torso_1_Zrotation,torso_1_Xrotation,torso_1_Yrotation,torso_2_Xposition,torso_2_Yposition,torso_2_Zposition,torso_2_Zrotation,torso_2_Xrotation,torso_2_Yrotation,torso_3_Xposition,torso_3_Yposition,torso_3_Zposition,torso_3_Zrotation,torso_3_Xrotation,torso_3_Yrotation,torso_4_Xposition,torso_4_Yposition,torso_4_Zposition,torso_4_Zrotation,torso_4_Xrotation,torso_4_Yrotation,torso_5_Xposition,torso_5_Yposition,torso_5_Zposition,torso_5_Zrotation,torso_5_Xrotation,torso_5_Yrotation,torso_6_Xposition,torso_6_Yposition,torso_6_Zposition,torso_6_Zrotation,torso_6_Xrotation,torso_6_Yrotation,torso_7_Xposition,torso_7_Yposition,torso_7_Zposition,torso_7_Zrotation,torso_7_Xrotation,torso_7_Yrotation,neck_1_Xposition,neck_1_Yposition,neck_1_Zposition,neck_1_Zrotation,neck_1_Xrotation,neck_1_Yrotation,neck_2_Xposition,neck_2_Yposition,neck_2_Zposition,neck_2_Zrotation,neck_2_Xrotation,neck_2_Yrotation,head_Xposition,head_Yposition,head_Zposition,head_Zrotation,head_Xrotation,head_Yrotation,l_shoulder_Xposition,l_shoulder_Yposition,l_shoulder_Zposition,l_shoulder_Zrotation,l_shoulder_Xrotation,l_shoulder_Yrotation,l_up_arm_Xposition,l_up_arm_Yposition,l_up_arm_Zposition,l_up_arm_Zrotation,l_up_arm_Xrotation,l_up_arm_Yrotation,l_low_arm_Xposition,l_low_arm_Yposition,l_low_arm_Zposition,l_low_arm_Zrotation,l_low_arm_Xrotation,l_low_arm_Yrotation,l_hand_Xposition,l_hand_Yposition,l_hand_Zposition,l_hand_Zrotation,l_hand_Xrotation,l_hand_Yrotation,r_shoulder_Xposition,r_shoulder_Yposition,r_shoulder_Zposition,r_shoulder_Zrotation,r_shoulder_Xrotation,r_shoulder_Yrotation,r_up_arm_Xposition,r_up_arm_Yposition,r_up_arm_Zposition,r_up_arm_Zrotation,r_up_arm_Xrotation,r_up_arm_Yrotation,r_low_arm_Xposition,r_low_arm_Yposition,r_low_arm_Zposition,r_low_arm_Zrotation,r_low_arm_Xrotation,r_low_arm_Yrotation,r_hand_Xposition,r_hand_Yposition,r_hand_Zposition,r_hand_Zrotation,r_hand_Xrotation,r_hand_Yrotation,l_up_leg_Xposition,l_up_leg_Yposition,l_up_leg_Zposition,l_up_leg_Zrotation,l_up_leg_Xrotation,l_up_leg_Yrotation,l_low_leg_Xposition,l_low_leg_Yposition,l_low_leg_Zposition,l_low_leg_Zrotation,l_low_leg_Xrotation,l_low_leg_Yrotation,l_foot_Xposition,l_foot_Yposition,l_foot_Zposition,l_foot_Zrotation,l_foot_Xrotation,l_foot_Yrotation,l_toes_Xposition,l_toes_Yposition,l_toes_Zposition,l_toes_Zrotation,l_toes_Xrotation,l_toes_Yrotation,r_up_leg_Xposition,r_up_leg_Yposition,r_up_leg_Zposition,r_up_leg_Zrotation,r_up_leg_Xrotation,r_up_leg_Yrotation,r_low_leg_Xposition,r_low_leg_Yposition,r_low_leg_Zposition,r_low_leg_Zrotation,r_low_leg_Xrotation,r_low_leg_Yrotation,r_foot_Xposition,r_foot_Yposition,r_foot_Zposition,r_foot_Zrotation,r_foot_Xrotation,r_foot_Yrotation,r_toes_Xposition,r_toes_Yposition,r_toes_Zposition,r_toes_Zrotation,r_toes_Xrotation,r_toes_Yrotation,TimeCode
0.0,87.9003,0.0,-0.0,0.0,-0.0,0.0,4.78511,-1.08482,-0.0,0.0,-0.0,0.0,5.29195,1.00949,-0.0,0.0,-0.0,-9.66735e-18,5.64355,0.108362,-0.0,0.0,-0.0,-1.04072e-17,6.12977,-0.417886,-0.0,0.0,-0.0,-1.85891e-17,7.16586,-1.41888,-0.0,0.0,-0.0,-2.38665e-17,8.94839,-0.861631,-0.0,0.0,-0.0,-2.73615e-17,9.94144,1.48576,-0.0,0.0,-0.0,-1.21725e-17,4.50977,0.67399,-0.0,0.0,-0.0,-1.70689e-17,4.54241,0.39741,-0.0,0.0,-0.0,-1.89342e-17,4.5512,0.720839,-0.0,0.0,-0.0,1.16172,-7.16758,7.09827,-0.0,0.0,-0.0,12.2059,3.06167,-3.07978,-0.0,0.0,-0.0,27.5197,0.056351,0.129118,-0.0,0.0,-0.0,22.8331,0.0467536,0.107129,-0.0,0.0,-0.0,-1.16172,-7.16756,7.09818,-0.0,0.0,-0.0,-12.2059,3.06167,-3.07978,-0.0,0.0,-0.0,-27.5197,0.056351,0.129118,-0.0,0.0,-0.0,-22.8331,0.0467534,0.107129,-0.0,0.0,-0.0,8.70282,-3.96247,1.9152,-0.0,0.0,-0.0,-0.803084,-36.5309,-0.617314,-0.0,0.0,-0.0,-2.19176,-38.0664,-5.69911,-0.0,0.0,-0.0,0.734061,-9.31305,11.7736,-0.0,0.0,-0.0,-8.70282,-3.96247,1.9152,-0.0,0.0,-0.0,0.803084,-36.5309,-0.617314,-0.0,0.0,-0.0,2.19176,-38.0664,-5.69911,-0.0,0.0,-0.0,-0.734061,-9.31305,11.7736,-0.0,0.0,-0.0,0.0
0.0,87.9433,0.0,-0.0941508,-0.0601333,-12.385,0.0,4.78511,-1.08482,-0.297878,-5.5469,0.533091,0.0,5.29195,1.00949,-0.234616,-4.24111,0.506093,-9.66735e-18,5.64355,0.108362,-0.107214,-2.18474,0.625295,-1.04072e-17,6.12977,-0.417886,-0.0618423,0.940004,0.6551,-1.85891e-17,7.16586,-1.41888,0.172874,3.20239,0.648806,-2.38665e-17,8.94839,-0.861631,0.511619,4.33538,0.48104,-2.73615e-17,9.94144,1.48576,0.0141192,0.096821,0.00174075,-1.21725e-17,4.50977,0.67399,0.230342,2.27035,-0.911788,-1.70689e-17,4.54241,0.39741,0.700405,-3.06782,-0.750155,-1.89342e-17,4.5512,0.720839,-0.587792,0.565689,-1.61365,1.16172,-7.16758,7.09827,-1.60372,-1.42105,3.59895,12.2059,3.06167,-3.07978,-88.6223,3.78956,8.77247,27.5197,0.056351,0.129118,1.71484,-0.115274,-8.29146,22.8331,0.0467536,0.107129,0.255694,6.63913,-0.812638,-1.16172,-7.16756,7.09818,1.45014,0.762168,-3.66746,-12.2059,3.06167,-3.07978,88.9058,1.61865,-6.80765,-27.5197,0.056351,0.129118,-1.85057,-0.135271,8.95188,-22.8331,0.0467534,0.107129,0.363919,1.61118,0.267968,8.70282,-3.96247,1.9152,2.15651,-4.84857,-14.8713,-0.803084,-36.5309,-0.617314,2.28602e-15,2.83268e-15,1.2598e-14,-2.19176,-38.0664,-5.69911,1.17096,0.755946,14.9278,0.734061,-9.31305,11.7736,4.96962e-17,-7.95139e-16,1.2424e-17,-8.70282,-3.96247,1.9152,0.262601,-5.2645,14.9661,0.803084,-36.5309,-0.617314,-2.78661e-09,-8.03866e-09,5.03317e-07,2.19176,-38.0664,-5.69911,-1.17096,0.755946,-14.9278,-0.734061,-9.31305,11.7736,-5.96354e-16,-5.59082e-16,-1.27471e-14,0.033333
0.0,87.9433,0.0,-0.0879109,-0.0622666,-12.3858,0.0,4.78511,-1.08482,-0.298088,-5.53853,0.532707,0.0,5.29195,1.00949,-0.234882,-4.23459,0.505768,-9.66735e-18,5.64355,0.108362,-0.107472,-2.18152,0.624986,-1.04072e-17,6.12977,-0.417886,-0.0621343,0.9376,0.654796,-1.85891e-17,7.16586,-1.41888,0.172471,3.19703,0.648498,-2.38665e-17,8.94839,-0.861631,0.51091,4.32865,0.480791,-2.73615e-17,9.94144,1.48576,0.0140968,0.09691,0.00173792,-1.21725e-17,4.50977,0.67399,0.229314,2.27529,-0.914818,-1.70689e-17,4.54241,0.39741,0.695975,-3.06523,-0.751672,-1.89342e-17,4.5512,0.720839,-0.593298,0.565867,-1.61547,1.16172,-7.16758,7.09827,-1.59841,-1.41729,3.59711,12.2059,3.06167,-3.07978,-88.6315,3.77901,8.76355,27.5197,0.056351,0.129118,1.71539,-0.11535,-8.29411,22.8331,0.0467536,0.107129,0.266418,6.64599,-0.809181,-1.16172,-7.16756,7.09818,1.44273,0.765502,-3.66566,-12.2059,3.06167,-3.07978,88.9086,1.62016,-6.79986,-27.5197,0.056351,0.129118,-1.85094,-0.135328,8.9537,-22.8331,0.0467534,0.107129,0.364079,1.61149,0.264067,8.70282,-3.96247,1.9152,2.15003,-4.84779,-14.8714,-0.803084,-36.5309,-0.617314,2.28602e-15,2.83268e-15,1.2598e-14,-2.19176,-38.0664,-5.69911,1.17096,0.755946,14.9278,0.734061,-9.31305,11.7736,4.96962e-17,-7.95139e-16,1.2424e-17,-8.70282,-3.96247,1.9152,0.256121,-5.26376,14.9661,0.803084,-36.5309,-0.617314,-2.78661e-09,-8.03866e-09,5.03317e-07,2.19176,-38.0664,-5.69911,-1.17096,0.755946,-14.9278,-0.734061,-9.31305,11.7736,-5.96354e-16,-5.59082e-16,-1.27471e-14,0.066666
0.0,87.9433,0.0,-0.0909143,-0.0508282,-12.3949,0.0,4.78511,-1.08482,-0.294547,-5.53562,0.532642,0.0,5.29195,1.00949,-0.231859,-4.23275,0.506242,-9.66735e-18,5.64355,0.108362,-0.105098,-2.18158,0.625522,-1.04072e-17,6.12977,-0.417886,-0.0605287,0.934274,0.655385,-1.85891e-17,7.16586,-1.41888,0.173368,3.19267,0.648766,-2.38665e-17,8.94839,-0.861631,0.511073,4.3238,0.480909,-2.73615e-17,9.94144,1.48576,0.0140985,0.0969999,0.00176005,-1.21725e-17,4.50977,0.67399,0.229004,2.26944,-0.908875,-1.70689e-17,4.54241,0.39741,0.692986,-3.06793,-0.748918,-1.89342e-17,4.5512,0.720839,-0.597143,0.565777,-1.6122,1.16172,-7.16758,7.09827,-1.59493,-1.41403,3.59724,12.2059,3.06167,-3.07978,-88.6369,3.7734,8.75948,27.5197,0.056351,0.129118,1.71622,-0.115467,-8.29816,22.8331,0.0467536,0.107129,0.265667,6.63626,-0.816005,-1.16172,-7.16756,7.09818,1.44183,0.769742,-3.66267,-12.2059,3.06167,-3.07978,88.8991,1.61441,-6.79011,-27.5197,0.056351,0.129118,-1.85013,-0.135204,8.94974,-22.8331,0.0467534,0.107129,0.364694,1.62417,0.261685,8.70282,-3.96247,1.9152,2.15622,-4.85797,-14.8709,-0.803084,-36.5309,-0.617314,2.28602e-15,2.83268e-15,1.2598e-14,-2.19176,-38.0664,-5.69911,1.17096,0.755946,14.9278,0.734061,-9.31305,11.7736,4.96962e-17,-7.95139e-16,1.2424e-17,-8.70282,-3.96247,1.9152,0.262354,-5.27424,14.9662,0.803084,-36.5309,-0.617314,-2.78661e-09,-8.03866e-09,5.03317e-07,2.19176,-38.0664,-5.69911,-1.17096,0.755946,-14.9278,-0.734061,-9.31305,11.7736,-5.96354e-16,-5.59082e-16,-1.27471e-14,0.099999
0.0,87.9433,0.0,-0.09405,-0.0497562,-12.3945,0.0,4.78511,-1.08482,-0.291904,-5.53327,0.531681,0.0,5.29195,1.00949,-0.229494,-4.23068,0.505675,-9.66735e-18,5.64355,0.108362,-0.103243,-2.17989,0.624992,-1.04072e-17,6.12977,-0.417886,-0.0591656,0.93518,0.654882,-1.85891e-17,7.16586,-1.41888,0.174068,3.19293,0.648057,-2.38665e-17,8.94839,-0.861631,0.511028,4.32376,0.480072,-2.73615e-17,9.94144,1.48576,0.014101,0.097,0.00176035,-1.21725e-17,4.50977,0.67399,0.229397,2.26995,-0.904488,-1.70689e-17,4.54241,0.39741,0.689758,-3.07365,-0.746869,-1.89342e-17,4.5512,0.720839,-0.600273,0.560293,-1.61271,1.16172,-7.16758,7.09827,-1.59589,-1.41349,3.59596,12.2059,3.06167,-3.07978,-88.6398,3.77579,8.75163,27.5197,0.056351,0.129118,1.71735,-0.115627,-8.30367,22.8331,0.0467536,0.107129,0.261723,6.6288,-0.810792,-1.16172,-7.16756,7.09818,1.44183,0.769873,-3.66057,-12.2059,3.06167,-3.07978,88.8939,1.61306,-6.78136,-27.5197,0.056351,0.129118,-1.85077,-0.135301,8.95285,-22.8331,0.0467534,0.107129,0.367668,1.62341,0.261532,8.70282,-3.96247,1.9152,2.15948,-4.85836,-14.8709,-0.803084,-36.5309,-0.617314,2.28602e-15,2.83268e-15,1.2598e-14,-2.19176,-38.0664,-5.69911,1.17096,0.755946,14.9278,0.734061,-9.31305,11.7736,4.96962e-17,-7.95139e-16,1.2424e-17,-8.70282,-3.96247,1.9152,0.26561,-5.27462,14.9662,0.803084,-36.5309,-0.617314,-2.78661e-09,-8.03866e-09,5.03317e-07,2.19176,-38.0664,-5.69911,-1.17096,0.755946,-14.9278,-0.734061,-9.31305,11.7736,-5.96354e-16,-5.59082e-16,-1.27471e-14,0.133332
0.0,87.9433,0.0,-0.103451,-0.0465067,-12.3956,0.0,4.78511,-1.08482,-0.287923,-5.53766,0.529891,0.0,5.29195,1.00949,-0.225772,-4.23355,0.504237,-9.66735e-18,5.64355,0.108362,-0.100277,-2.17908,0.623419,-1.04072e-17,6.12977,-0.417886,-0.0569307,0.941761,0.653259,-1.85891e-17,7.16586,-1.41888,0.175082,3.20148,0.646091,-2.38665e-17,8.94839,-0.861631,0.510585,4.33374,0.477799,-2.73615e-17,9.94144,1.48576,0.0140963,0.0968641,0.00173796,-1.21725e-17,4.50977,0.67399,0.229588,2.27261,-0.897565,-1.70689e-17,4.54241,0.39741,0.684707,-3.08296,-0.743937,-1.89342e-17,4.5512,0.720839,-0.599608,0.547387,-1.6122,1.16172,-7.16758,7.09827,-1.59279,-1.4187,3.59581,12.2059,3.06167,-3.07978,-88.6469,3.77872,8.7317,27.5197,0.056351,0.129118,1.71676,-0.115543,-8.30079,22.8331,0.0467536,0.107129,0.261629,6.6214,-0.801583,-1.16172,-7.16756,7.09818,1.44674,0.763274,-3.65754,-12.2059,3.06167,-3.07978,88.8804,1.61269,-6.75376,-27.5197,0.056351,0.129118,-1.85022,-0.135219,8.95021,-22.8331,0.0467534,0.107129,0.372575,1.63183,0.250582,8.70282,-3.96247,1.9152,2.16946,-4.85947,-14.8709,-0.803084,-36.5309,-0.617314,2.28602e-15,2.83268e-15,1.2598e-14,-2.19176,-38.0664,-5.69911,1.17096,0.755946,14.9278,0.734061,-9.31305,11.7736,4.96962e-17,-7.95139e-16,1.2424e-17,-8.70282,-3.96247,1.9152,0.275592,-5.27577,14.9662,0.803084,-36.5309,-0.617314,-2.78661e-09,-8.03866e-09,5.03317e-07,2.19176,-38.0664,-5.69911,-1.17096,0.755946,-14.9278,-0.734061,-9.31305,11.7736,-5.96354e-16,-5.59082e-16,-1.27471e-14,0.166665
0.0,87.9433,0.0,-0.0878728,-0.0518679,-12.3953,0.0,4.78511,-1.08482,-0.292426,-5.54037,0.531027,0.0,5.29195,1.00949,-0.229725,-4.23444,0.504722,-9.66735e-18,5.64355,0.108362,-0.103395,-2.17651,0.62375,-1.04072e-17,6.12977,-0.417886,-0.0590737,0.950118,0.653442,-1.85891e-17,7.16586,-1.41888,0.173993,3.21087,0.646621,-2.38665e-17,8.94839,-0.861631,0.510813,4.34402,0.478328,-2.73615e-17,9.94144,1.48576,0.0141215,0.0966898,0.00172372,-1.21725e-17,4.50977,0.67399,0.229561,2.27097,-0.900867,-1.70689e-17,4.54241,0.39741,0.686209,-3.0954,-0.745682,-1.89342e-17,4.5512,0.720839,-0.592882,0.534953,-1.60853,1.16172,-7.16758,7.09827,-1.59001,-1.42341,3.59284,12.2059,3.06167,-3.07978,-88.6446,3.79223,8.70644,27.5197,0.056351,0.129118,1.71506,-0.115304,-8.29251,22.8331,0.0467536,0.107129,0.24831,6.61108,-0.79893,-1.16172,-7.16756,7.09818,1.45183,0.75695,-3.65478,-12.2059,3.06167,-3.07978,88.8764,1.60821,-6.72942,-27.5197,0.056351,0.129118,-1.8484,-0.134941,8.94131,-22.8331,0.0467534,0.107129,0.374902,1.62766,0.242575,8.70282,-3.96247,1.9152,2.15306,-4.85759,-14.871,-0.803084,-36.5309,-0.617314,2.28602e-15,2.83268e-15,1.2598e-14,-2.19176,-38.0664,-5.69911,1.17096,0.755946,14.9278,0.734061,-9.31305,11.7736,4.96962e-17,-7.95139e-16,1.2424e-17,-8.70282,-3.96247,1.9152,0.259195,-5.27388,14.9662,0.803084,-36.5309,-0.617314,-2.78661e-09,-8.03866e-09,5.03317e-07,2.19176,-38.0664,-5.69911,-1.17096,0.755946,-14.9278,-0.734061,-9.31305,11.7736,-5.96354e-16,-5.59082e-16,-1.27471e-14,0.199998
0.0,87.9433,0.0,-0.084737,-0.0529399,-12.3957,0.0,4.78511,-1.08482,-0.292575,-5.53839,0.530777,0.0,5.29195,1.00949,-0.22979,-4.2325,0.504334,-9.66735e-18,5.64355,0.108362,-0.103411,-2.17392,0.623171,-1.04072e-17,6.12977,-0.417886,-0.0589524,0.95365,0.652766,-1.85891e-17,7.16586,-1.41888,0.174028,3.21407,0.645938,-2.38665e-17,8.94839,-0.861631,0.510642,4.34721,0.477364,-2.73615e-17,9.94144,1.48576,0.0141275,0.0966162,0.0017263,-1.21725e-17,4.50977,0.67399,0.229343,2.26622,-0.896935,-1.70689e-17,4.54241,0.39741,0.681927,-3.10205,-0.744187,-1.89342e-17,4.5512,0.720839,-0.595614,0.528114,-1.61306,1.16172,-7.16758,7.09827,-1.57957,-1.42331,3.59184,12.2059,3.06167,-3.07978,-88.6574,3.81856,8.69803,27.5197,0.056351,0.129118,1.71576,-0.115402,-8.29592,22.8331,0.0467536,0.107129,0.235975,6.57794,-0.798783,-1.16172,-7.16756,7.09818,1.45873,0.755953,-3.64941,-12.2059,3.06167,-3.07978,88.8651,1.61719,-6.70766,-27.5197,0.056351,0.129118,-1.84773,-0.134839,8.93805,-22.8331,0.0467534,0.107129,0.382315,1.62097,0.232579,8.70282,-3.96247,1.9152,2.1498,-4.8572,-14.871,-0.803084,-36.5309,-0.617314,2.28602e-15,2.83268e-15,1.2598e-14,-2.19176,-38.0664,-5.69911,1.17096,0.755946,14.9278,0.734061,-9.31305,11.7736,4.96962e-17,-7.95139e-16,1.2424e-17,-8.70282,-3.96247,1.9152,0.255939,-5.2735,14.9662,0.803084,-36.5309,-0.617314,-2.78661e-09,-8.03866e-09,5.03317e-07,2.19176,-38.0664,-5.69911,-1.17096,0.755946,-14.9278,-0.734061,-9.31305,11.7736,-5.96354e-16,-5.59082e-16,-1.27471e-14,0.233331
0.0,87.9433,0.0,-0.084737,-0.0529399,-12.3957,0.0,4.78511,-1.08482,-0.291077,-5.52995,0.528668,0.0,5.29195,1.00949,-0.228245,-4.22617,0.502421,-9.66735e-18,5.64355,0.108362,-0.10215,-2.17097,0.621166,-1.04072e-17,6.12977,-0.417886,-0.0578734,0.950805,0.650731,-1.85891e-17,7.16586,-1.41888,0.174343,3.2084,0.643754,-2.38665e-17,8.94839,-0.861631,0.509659,4.33996,0.475023,-2.73615e-17,9.94144,1.48576,0.0140976,0.0966872,0.00171539,-1.21725e-17,4.50977,0.67399,0.228626,2.26847,-0.891591,-1.70689e-17,4.54241,0.39741,0.671433,-3.10603,-0.741936,-1.89342e-17,4.5512,0.720839,-0.608302,0.524417,-1.61437,1.16172,-7.16758,7.09827,-1.56864,-1.41751,3.59349,12.2059,3.06167,-3.07978,-88.6751,3.84391,8.70322,27.5197,0.056351,0.129118,1.71828,-0.115757,-8.30817,22.8331,0.0467536,0.107129,0.232384,6.54096,-0.796622,-1.16172,-7.16756,7.09818,1.45017,0.7592,-3.64814,-12.2059,3.06167,-3.07978,88.8649,1.63005,-6.70428,-27.5197,0.056351,0.129118,-1.85003,-0.135189,8.94928,-22.8331,0.0467534,0.107129,0.381457,1.61744,0.235251,8.70282,-3.96247,1.9152,2.1498,-4.8572,-14.871,-0.803084,-36.5309,-0.617314,2.28602e-15,2.83268e-15,1.2598e-14,-2.19176,-38.0664,-5.69911,1.17096,0.755946,14.9278,0.734061,-9.31305,11.7736,4.96962e-17,-7.95139e-16,1.2424e-17,-8.70282,-3.96247,1.9152,0.255939,-5.2735,14.9662,0.803084,-36.5309,-0.617314,-2.78661e-09,-8.03866e-09,5.03317e-07,2.19176,-38.0664,-5.69911,-1.17096,0.755946,-14.9278,-0.734061,-9.31305,11.7736,-5.96354e-16,-5.59082e-16,-1.27471e-14,0.266664
0.0,87.9433,0.0,-0.0784833,-0.0550996,-12.395,0.0,4.78511,-1.08482,-0.290227,-5.52191,0.528248,0.0,5.29195,1.00949,-0.22748,-4.21995,0.502233,-9.66735e-18,5.64355,0.108362,-0.101565,-2.16809,0.621094,-1.04072e-17,6.12977,-0.417886,-0.057545,0.948104,0.650663,-1.85891e-17,7.16586,-1.41888,0.174387,3.20278,0.643597,-2.38665e-17,8.94839,-0.861631,0.509286,4.33304,0.474816,-2.73615e-17,9.94144,1.48576,0.0140859,0.0967846,0.00169883,-1.21725e-17,4.50977,0.67399,0.228441,2.28141,-0.886884,-1.70689e-17,4.54241,0.39741,0.667522,-3.10766,-0.739689,-1.89342e-17,4.5512,0.720839,-0.611792,0.52206,-1.61112,1.16172,-7.16758,7.09827,-1.56195,-1.41437,3.59441,12.2059,3.06167,-3.07978,-88.686,3.84314,8.6976,27.5197,0.056351,0.129118,1.71878,-0.115827,-8.3106,22.8331,0.0467536,0.107129,0.23512,6.54336,-0.793514,-1.16172,-7.16756,7.09818,1.43442,0.760435,-3.65016,-12.2059,3.06167,-3.07978,88.8768,1.62714,-6.70312,-27.5197,0.056351,0.129118,-1.851,-0.135336,8.95398,-22.8331,0.0467534,0.107129,0.387023,1.62028,0.232174,8.70282,-3.96247,1.9152,2.14316,-4.85647,-14.871,-0.803084,-36.5309,-0.617314,2.28602e-15,2.83268e-15,1.2598e-14,-2.19176,-38.0664,-5.69911,1.17096,0.755946,14.9278,0.734061,-9.31305,11.7736,4.96962e-17,-7.95139e-16,1.2424e-17,-8.70282,-3.96247,1.9152,0.249299,-5.27274,14.9662,0.803084,-36.5309,-0.617314,-2.78661e-09,-8.03866e-09,5.03317e-07,2.19176,-38.0664,-5.69911,-1.17096,0.755946,-14.9278,-0.734061,-9.31305,11.7736,-5.96354e-16,-5.59082e-16,-1.27471e-14,0.299997
